work_location,position_type,people_number,position_link,publish_times,position_name
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39377&keywords=&tid=0&lid=0,2018-04-18,SNG04-QQ看点Android视频客户端开发工程师（深圳）
深圳,市场类,1,https://hr.tencent.com/position_detail.php?id=39364&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB餐饮/零售行业经理（上海/深圳/北京）
深圳,产品/项目类,2,https://hr.tencent.com/position_detail.php?id=39367&keywords=&tid=0&lid=0,2018-04-18,18402-刺激战场全球版-赛事运营（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39369&keywords=&tid=0&lid=0,2018-04-18,18402-刺激战场全球版-用户研究（深圳）
深圳,技术类,2,https://hr.tencent.com/position_detail.php?id=39376&keywords=&tid=0&lid=0,2018-04-18,SNG04-QQ看点IOS视频客户端开发工程师（深圳）
上海,设计类,2,https://hr.tencent.com/position_detail.php?id=39379&keywords=&tid=0&lid=0,2018-04-18,15573-新侠风MMORPG手游 GUI视觉设计师（上海）
深圳,技术类,1,https://hr.tencent.com/position_detail.php?id=39366&keywords=&tid=0&lid=0,2018-04-18,TEG02-系统运营工程师（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39368&keywords=&tid=0&lid=0,2018-04-18,18402-刺激战场全球版-数据分析（深圳）
深圳,产品/项目类,2,https://hr.tencent.com/position_detail.php?id=39370&keywords=&tid=0&lid=0,2018-04-18,18402-刺激战场全球版-本地化运营（日韩）（深圳）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39372&keywords=&tid=0&lid=0,2018-04-18,21228-游戏社区运营（深圳）
深圳,市场类,1,https://hr.tencent.com/position_detail.php?id=39360&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB区域业务拓展经理（深圳）
上海,市场类,1,https://hr.tencent.com/position_detail.php?id=39362&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB区域业务拓展经理（东区）（上海）
北京,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39365&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告流量产品运营经理（微信广告）（北京）
深圳,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39352&keywords=&tid=0&lid=0,2018-04-18,15569-QQ飞车手游项目经理（深圳）
北京,产品/项目类,1,https://hr.tencent.com/position_detail.php?id=39358&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB产品运营经理（北京）
北京,市场类,1,https://hr.tencent.com/position_detail.php?id=39361&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB区域业务拓展经理(北区）（北京）
成都,市场类,1,https://hr.tencent.com/position_detail.php?id=39363&keywords=&tid=0&lid=0,2018-04-18,SA-腾讯社交广告SMB区域业务拓展经理(成都）
深圳,技术类,4,https://hr.tencent.com/position_detail.php?id=39350&keywords=&tid=0&lid=0,2018-04-18,18428-区块链技术（高级）架构师（深圳）
